TXNAME,SYMBOL
ENSMUST00000216684.1,Acp5
ENSMUST00000069330.13,Acp5
ENSMUST00000213815.1,Acp5
ENSMUST00000115315.2,Acp5
ENSMUST00000230978.1,Acr
ENSMUST00000231216.1,Acr
ENSMUST00000230538.1,Acr
ENSMUST00000023295.2,Acr
ENSMUST00000028515.3,Chrna1
ENSMUST00000124400.1,Chrna4
ENSMUST00000198922.1,Chrna4
ENSMUST00000067120.13,Chrna4
ENSMUST00000135766.4,Chrna4
ENSMUST00000108851.7,Chrna4
ENSMUST00000033882.9,Chrna6
ENSMUST00000208304.1,Chrna7
ENSMUST00000032738.6,Chrna7
ENSMUST00000045971.8,Chrnb1
ENSMUST00000154816.1,Chrnb1
ENSMUST00000147791.1,Chrnb1
ENSMUST00000129381.1,Chrnb1
ENSMUST00000200558.4,Chrnb2
ENSMUST00000029562.4,Chrnb2
ENSMUST00000199372.1,Chrnb2
ENSMUST00000186373.1,Chrnd
ENSMUST00000073252.8,Chrnd
ENSMUST00000189970.1,Chrnd
ENSMUST00000135920.1,Chrne
ENSMUST00000134836.1,Chrne
ENSMUST00000014753.8,Chrne
ENSMUST00000102556.9,Chrne
ENSMUST00000185763.6,Chrng
ENSMUST00000186038.1,Chrng
ENSMUST00000188796.6,Chrng
ENSMUST00000027470.13,Chrng
ENSMUST00000189392.1,Chrng
ENSMUST00000023593.5,Adipoq
ENSMUST00000171309.1,Adipoq
ENSMUST00000034620.4,Acrv1
ENSMUST00000184160.1,Acrv1
ENSMUST00000212584.1,Acta1
ENSMUST00000034453.5,Acta1
ENSMUST00000167721.7,Actb
ENSMUST00000171419.7,Actb
ENSMUST00000106216.2,Actb
ENSMUST00000165629.1,Actb
ENSMUST00000167386.7,Actb
ENSMUST00000163829.1,Actb
ENSMUST00000100497.10,Actb
ENSMUST00000164765.1,Actb
ENSMUST00000149125.1,Actc1
ENSMUST00000090269.6,Actc1
ENSMUST00000062147.13,Actg1
ENSMUST00000089616.5,Actg1
ENSMUST00000106215.10,Actg1
ENSMUST00000141406.7,Actg1
ENSMUST00000156343.1,Actg1
ENSMUST00000131103.8,Actg1
ENSMUST00000128055.1,Actg1
ENSMUST00000071555.12,Actg1
ENSMUST00000144868.1,Actg1
ENSMUST00000141904.7,Actg2
ENSMUST00000152029.1,Actg2
ENSMUST00000121731.7,Actg2
ENSMUST00000205926.1,Actg2
ENSMUST00000124933.1,Actg2
ENSMUST00000075161.11,Actg2
ENSMUST00000095079.5,Actl7a
ENSMUST00000095080.4,Actl7b
ENSMUST00000222034.1,Actn2
ENSMUST00000110616.1,Actn2
ENSMUST00000221162.2,Actn2
ENSMUST00000064204.13,Actn2
ENSMUST00000168193.7,Actn2
ENSMUST00000138811.1,Actn3
ENSMUST00000006626.4,Actn3
ENSMUST00000039631.9,Acta2
ENSMUST00000238147.1,Acta2
ENSMUST00000145495.7,Acvr1
ENSMUST00000112599.7,Acvr1
ENSMUST00000112601.8,Acvr1
ENSMUST00000056376.11,Acvr1
ENSMUST00000126407.1,Acvr1
ENSMUST00000090935.8,Acvr1
ENSMUST00000000544.11,Acvr1b
ENSMUST00000063886.3,Acvr2a
ENSMUST00000156681.1,Acvr2a
ENSMUST00000165044.2,Acvr2b
ENSMUST00000213389.1,Acvr2b
ENSMUST00000035093.14,Acvr2b
ENSMUST00000215746.1,Acvr2b
ENSMUST00000217621.1,Acvr2b
ENSMUST00000213431.1,Acvr2b
ENSMUST00000124151.1,Acvrl1
ENSMUST00000117984.7,Acvrl1
ENSMUST00000121718.7,Acvrl1
ENSMUST00000128525.1,Acvrl1
ENSMUST00000130432.7,Acvrl1
ENSMUST00000120754.1,Acvrl1
ENSMUST00000128868.1,Acvrl1
ENSMUST00000144229.7,Acvrl1
ENSMUST00000120028.7,Acvrl1
ENSMUST00000000542.13,Acvrl1
ENSMUST00000119063.7,Acvrl1
ENSMUST00000021119.8,Aspa
ENSMUST00000134079.1,Aspa
ENSMUST00000184572.7,Aspa
ENSMUST00000132774.1,Aspa
ENSMUST00000141898.1,Aspa
ENSMUST00000155630.8,Aspa
ENSMUST00000017841.3,Ada
ENSMUST00000156939.1,Ada
ENSMUST00000145377.1,Adam10
ENSMUST00000140205.7,Adam10
ENSMUST00000067880.12,Adam10
ENSMUST00000144537.1,Adam10
ENSMUST00000126024.1,Adam11
ENSMUST00000068150.6,Adam11
ENSMUST00000124879.7,Adam11
ENSMUST00000134296.7,Adam11
ENSMUST00000135513.1,Adam11
ENSMUST00000143269.1,Adam11
ENSMUST00000141563.7,Adam11
ENSMUST00000103081.9,Adam11
ENSMUST00000142912.1,Adam11
ENSMUST00000134504.7,Adam12
ENSMUST00000127524.1,Adam12
ENSMUST00000138363.1,Adam12
ENSMUST00000067680.10,Adam12
ENSMUST00000154144.1,Adam12
ENSMUST00000184651.7,Adam15
ENSMUST00000107448.8,Adam15
ENSMUST00000029676.11,Adam15
ENSMUST00000156250.1,Adam15
ENSMUST00000107446.7,Adam15
ENSMUST00000139705.1,Adam15
ENSMUST00000148068.7,Adam15
ENSMUST00000155868.1,Adam15
ENSMUST00000155295.7,Adam15
ENSMUST00000134590.1,Adam15
ENSMUST00000074582.6,Adam15
ENSMUST00000144608.1,Adam15
ENSMUST00000134839.7,Adam15
ENSMUST00000145118.7,Adam17
ENSMUST00000127974.7,Adam17
ENSMUST00000232526.1,Adam17
ENSMUST00000141799.1,Adam17
ENSMUST00000064536.12,Adam17
ENSMUST00000232107.1,Adam17
ENSMUST00000101551.9,Adam17
ENSMUST00000142092.1,Adam17
ENSMUST00000155115.1,Adam17
ENSMUST00000132339.1,Adam17
ENSMUST00000151565.7,Adam19
ENSMUST00000153410.1,Adam19
ENSMUST00000011400.7,Adam19
ENSMUST00000137014.1,Adam19
ENSMUST00000022618.5,Adam2
ENSMUST00000225667.1,Adam2
ENSMUST00000088744.11,Adam22
ENSMUST00000050166.13,Adam22
ENSMUST00000088761.10,Adam22
ENSMUST00000126384.7,Adam22
ENSMUST00000123168.7,Adam22
ENSMUST00000115388.8,Adam22
ENSMUST00000143929.1,Adam22
ENSMUST00000115386.7,Adam22
ENSMUST00000136524.7,Adam22
ENSMUST00000136808.7,Adam22
ENSMUST00000139048.7,Adam22
ENSMUST00000130315.7,Adam22
ENSMUST00000046838.13,Adam22
ENSMUST00000199853.1,Adam22
ENSMUST00000115385.1,Adam22
ENSMUST00000139841.7,Adam22
ENSMUST00000144241.7,Adam22
ENSMUST00000197700.4,Adam22
ENSMUST00000153889.7,Adam22
ENSMUST00000138652.1,Adam22
ENSMUST00000154935.7,Adam22
ENSMUST00000153427.7,Adam22
ENSMUST00000124121.7,Adam22
ENSMUST00000171438.7,Adam3
ENSMUST00000170318.7,Adam3
ENSMUST00000170740.7,Adam3
ENSMUST00000168662.7,Adam3
ENSMUST00000166986.8,Adam3
ENSMUST00000167431.1,Adam3
ENSMUST00000033958.14,Adam3
ENSMUST00000171611.8,Adam3
ENSMUST00000169598.1,Adam3
ENSMUST00000167703.7,Adam3
ENSMUST00000085319.3,Adam4
ENSMUST00000118419.1,Adam5
ENSMUST00000130939.1,Adam5
ENSMUST00000209935.1,Adam5
ENSMUST00000050300.14,Adam5
ENSMUST00000132180.7,Adam5
ENSMUST00000022640.7,Adam7
ENSMUST00000128069.1,Adam7
ENSMUST00000173209.1,Adam8
ENSMUST00000106069.8,Adam8
ENSMUST00000156647.7,Adam8
ENSMUST00000026546.15,Adam8
ENSMUST00000132903.1,Adam8
ENSMUST00000149915.1,Adam8
ENSMUST00000128332.7,Adam8
ENSMUST00000148670.7,Adam8
ENSMUST00000084032.5,Adam9
ENSMUST00000208247.2,Adam9
ENSMUST00000207132.1,Adam9
ENSMUST00000211319.1,Adam9
ENSMUST00000084035.11,Adam9
ENSMUST00000125897.1,Adamts1
ENSMUST00000023610.14,Adamts1
ENSMUST00000138474.1,Adamts1
ENSMUST00000227501.1,Adcy6
ENSMUST00000226500.1,Adcy6
ENSMUST00000096224.5,Adcy6
ENSMUST00000228903.1,Adcy6
