"PG.ProteinAccessions","PG.Genes","Veh.1","Veh.2","Veh.3","Veh.4","Veh.5","Veh.6","Veh.7","Veh.8","GDF15.1","GDF15.2","GDF15.3","GDF15.4","GDF15.5","GDF15.6","GDF15.7","CR.1","CR.2","CR.3","CR.4","CR.5","CR.6","CR.7","CR.8","CR.9","CR.10","CR.11","CR.12","CR.13","CR.14","CR.15","CR.16","Protein"
"A0A075B5J6;P01629","Gm20730;",,43579.19531,69851.10156,,129055.0234,,,,34689.78516,,,13062.13965,,,39116.5625,,,11770.86719,,59329.14063,,46772.77734,,53535.78906,149750.8906,,,133536.6094,9272.987305,63996.125,84887.8125,"GM20730"
"A0A075B5J7;A0A0G2JF45","Igkv14-130",,202255.9219,40073.51563,14930.81445,31155.44727,13946.71777,,17045.76172,9256.943359,19937.88281,14913.71484,25867.76172,18450.61914,10220.97656,13028.22266,13503.64355,29794.28906,55181.71094,30698.20703,51860.75781,24938.48828,49004.92969,21552.86914,43729.53125,18437.63281,66269.89063,16905.15234,46930.08203,84466.625,,19766.29297,"IGKV14-130"
"A0A075B5J9;A0A075B5K3;A0A0G2JDN5;A0A0G2JFA8","Igkv17-127;Igkv17-121;Igkv17-127;Igkv17-121",2529283.75,4671877.5,10290825,1774113.75,1710862.375,1084408,4638725.5,1558845.25,5346637,1490889.625,1403561.375,1867848.625,3000375,757140.6875,3964841,1125787.875,1830767.75,3019495,1167153,2970621,1699706.25,819228.625,1932177.375,1474651.25,1643447.25,1592574.125,2407669.5,1146659.125,1298007.75,1071629.25,1086885,"IGKV17-127;IGKV17-121"
"A0A075B5K0","Igkv14-126",127902.2969,126837.5703,159410.4688,82955.48438,91235.875,81376.875,72893.5625,46173.34766,449167.5313,80930.71875,251049.2813,87665.1875,270233.375,49238.14453,91400.29688,99394.74219,97576.41406,89680.67969,84318.20313,107992.3594,106334.9453,86246.36719,90111.97656,117635.1797,248490.8594,79822.875,237735.0469,106584.2891,97292.625,62829.10547,144408.3594,"IGKV14-126"
"A0A075B5K1;A0A0G2JEK4;P01652","Igkv11-125;Igkv11-125;",,,,,,5322.46582,16222.2334,,19769.2832,,,13595.54688,,,,,,,,,,,,10321.4668,,7940.599609,,,,,,"IGKV11-125"
"A0A075B5K2","Igkv9-124",147709.9219,243318.4375,110807.7734,131747.5313,158437.2813,162114.375,119878.9844,74654.48438,146056.5,185294.4375,147409.4375,135265.0938,171836.5156,94517.54688,69333.52344,153817.2344,98273.20313,213227.6875,85591.40625,215238.8281,154875.5,63521.37109,75834.14063,88558.42188,68551.17188,145047.0938,206439.8594,127012.4688,155825.875,55570.83984,129363.5547,"IGKV9-124"
"A0A075B5K5;P01627","Igkv2-112;Gm5153",14070.32813,9346.438477,5330.711914,7825.23877,224521.4219,9496.673828,82036.59375,198995.9688,19701.55859,5874.875977,21653.59766,12833.16992,18011.07617,8925.793945,111895.3047,9545.711914,11520.13672,6502.793457,18640.55664,2464055.25,79852.27344,11069.73438,,,,12863.31738,40032.69141,19520.44531,34084.08984,,16968.37695,"IGKV2-112;GM5153"
"A0A075B5K6;P03976","Igkv2-109;",200177.4375,186813.2969,702777,116933.8125,211205.8906,312789.5625,132422.6406,130881.2969,216945.6563,170932.6875,3414352.25,182268.8438,220626.2188,496583.3125,122870.9531,117726.6094,145261.6094,82239.35156,368208.2188,497012.5313,109670.9219,312296.8438,639107.4375,3540405.75,322351.3438,178195.8594,157333.3906,150667.3125,675088.125,167218.9688,262935.5625,"IGKV2-109"
"A0A075B5K7;A0A0G2JG36","Igkv14-100",190151.7344,64577.12109,116831.0781,44703.57813,50983.08203,38269.67969,83789.09375,16266.79297,39953.125,63498.64453,46359.77734,67781.17188,106893.25,14540.25391,60492.98438,89485.75,41434.46875,28466.17773,32084.75781,93562.25,31698.51367,58748.61719,13058.72754,27952.77148,243633.8594,30350.93945,41991.88281,24047.39453,28429.22852,40364.08203,23401.37891,"IGKV14-100"
"A0A075B5L1","Igkv10-94",340106.8125,217710.3438,219537.9219,66163.28125,78139.84375,111173.9453,288448.3438,,182459.25,145928.5625,,548387.25,124672.8906,292156.4063,,118242.9063,129710.3281,80298.53906,193709.4688,121868.7578,374762.9375,172605.9219,116951.8984,162892.5781,,229697.3281,142288.6563,338735.0313,76095.29688,,560561.75,"IGKV10-94"
"A0A075B5L4;A0A0G2JGW8","Igkv12-89",935900.0625,132189.9688,114151.7109,118935.9297,125017.3672,62065.5625,43274.75391,28819.25977,47613.57031,88810.29688,41529.91016,72857.8125,111578.0703,139613.3438,127554.1328,62959.17578,79159.9375,23408.36133,67392.9375,337283.8125,20561.75586,44531.29688,90472.03125,206210.0625,104644.2188,32276.96094,140493.3438,101035.125,40117.50781,41962.22656,225953.5156,"IGKV12-89"
"A0A075B5L7","Igkv4-80",179953.7656,115840.5,46878.43359,77227.625,96344.23438,68187.01563,45063.53516,52686.68359,67321.00781,75917.60938,146797.9844,160711.5156,55605.68359,76871.78125,57923.57422,99182.6875,231846.625,82744.65625,80013.44531,105095.4453,41344.36719,100144.3125,264319.0625,73177.14844,244715.8594,41687.78125,89237.02344,188872.0156,847151.625,39322.66406,108506.8047,"IGKV4-80"
"A0A075B5M1","Igkv4-63",84672.40625,316735.125,433099.7813,327257.3438,319774.375,232401.2656,150696.7813,152190.7344,595514.5625,116317.9141,295949.625,140026.7813,321019.5,70536.41406,462606.75,490301.9063,355801.75,299068.1875,109700.0078,569895,190021.9063,546826.9375,188936.375,932273.0625,131046.2734,455551.875,163412.7969,202206.8438,118593.0859,568466.8125,90564.33594,"IGKV4-63"
"A0A075B5M3","Igkv4-58",349345.0313,525614.125,520485.25,486450.2813,254933.1875,416934.9063,441073.2188,269927.625,351520.75,1679665.625,181898.4063,361995.5,291250.0625,141661.6406,296845,192633.2188,423429.6563,265702.0313,353412.2813,376994.5625,265365.8438,405224.0625,1364118.875,205727.7344,204105.5625,555934.375,189210.0781,189867.6406,717540.25,285516.875,658729.4375,"IGKV4-58"
"A0A075B5M4","Igkv4-57-1",17420.50586,46422.18359,15457.80664,36252.50781,,98666.27344,16219.08203,32792.61328,10708.95313,24953.94922,59186.04297,18169.08594,29908.57617,10995.17676,48865.96484,,12189.81738,,15762.96973,72950.64063,6725.312988,6367.371582,29163.77344,35888.67188,13811.46387,17534.26953,20165.21875,23575.01758,10757.16113,28384.41406,7605.245605,"IGKV4-57-1"
"A0A075B5M7","Igkv5-39",1858218.125,2757919.25,670082.8125,1983355.75,2229348.75,3058429.75,3572511.25,2202880.75,1991016.75,743464.0625,1366656.625,2492301.5,382654.5625,678624.125,2140556.25,4258807,2013276.625,3966587,2180228.25,546128.375,1170537,3234931.5,1790757,4294418.5,2679370.25,3204525.25,1755244.125,2052620.375,1055638.5,2709043.5,2509996,"IGKV5-39"
"A0A075B5M8;A0A0G2JEI7","Igkv12-38",19977.5918,52233.36328,,32101.2207,,17357.12305,40433.59766,870.6126709,79694.92969,24960.6582,,29013.59961,,,70262.61719,46563.87109,,,19706.54883,18544.17188,20027.91602,,208892.0156,,11904.33398,14750.62793,17524.73047,26442.48828,,18925.16602,,"IGKV12-38"
"A0A075B5N3","Igkv8-28",1558061.5,656069.875,1123090,1514595.875,1405046.375,1039033.188,951155.8125,2149762.25,384643.25,558164.3125,323607.25,846327.875,1644173.75,541853.125,953730.625,332769.4063,790432.625,601349.4375,620541.1875,63784884,611306.3125,431006.3438,594244.25,827648.6875,578282.1875,1372041,1461152.125,846187,1278342.625,321752.7813,2317086.5,"IGKV8-28"
"A0A075B5N4","Igkv8-27",334444.4063,604527.375,436168.1875,822634.8125,350147.9375,236008.7656,169589.6719,144374.8594,361289.0938,495871.5313,296550.1563,208840.4063,190946.875,104513.4141,299145.6875,509413.0313,185919.0938,1194528.875,153246.9844,328341.2188,241489.5313,159398.2188,129767.0156,129475.0391,243174.3125,198019.8125,119923.4766,400566.875,144110.3438,85439.67188,102447.3984,"IGKV8-27"
"A0A075B5N5","Igkv8-26",,,,,,,,,,,,,,,,,,,,23415.87695,,,,,,,,,,,,"IGKV8-26"
"A0A075B5N6;A0A0G2JDG9;A0A0G2JGT0","Igkv8-16;Igkv8-16;Gm43218",34095.59766,,20422.28516,,,27432.12695,18281.06055,,,134303.3594,,16558.67188,24709.20313,,20934.73828,47984.48828,10422.39258,,,,,,,36446.55469,20048.72461,,23478.98633,,7823.333496,,,"IGKV8-16;GM43218"
"A0A075B5N7","Igkv6-13",368734.2813,465510.2188,577199.1875,231246,275346.3438,180402.3438,477568.125,209756.9219,329578.7813,302481.4375,207408.7969,228188.1719,884341.875,194316.2656,318958.5,523285.4375,195324.2344,390557.625,100054.0391,664299.9375,95922.53906,380090.9063,182922.2188,202492.2188,350534.5,294090.3125,141091.6094,182801.2344,243502.4375,232601.9219,110792.6641,"IGKV6-13"
"A0A075B5N9","Igkv3-7",,,79553.6875,114762.6719,82240.42188,64177.75,97994.70313,,91215.875,188590.1094,76734.375,,124657.0234,80789.47656,111640.6328,77387.35938,90453.73438,54557.80078,124140.4141,226709.5781,48869.51172,104189.6094,81206.60156,145419.25,55569.40625,61397.78516,72653.59375,108311.5078,84856.10156,47877.58984,,"IGKV3-7"
"A0A075B5P1","Igkv3-1",43077.05859,,,20755.68555,21185.46484,10964.54492,14346.83203,36881.64063,39612.58594,31180.23438,,46825.75,53481.41797,,18201.24023,182703.0156,,,,52682.05469,,45149.61719,,,100598.2656,24867.39258,14236.83105,16347.99707,70921.14844,,14908.41699,"IGKV3-1"
"A0A075B5P2;P01837","Igkc;",2587657.75,1773728.625,4168369,2612503.25,2989054,2041797.25,2249953,2018757.75,3080589,2429564,2639751.75,2643996.25,1986232.25,1282946.625,2416010.5,2916552.5,2396530.5,2573789.75,2407869.25,6947261.5,1791248.25,2216850.5,3206360.5,3150514,2301688.5,3587912.5,1954786,2449358.25,2152494.5,1618397.875,2483123,"IGKC"
"A0A075B5P3","Ighg2b",29884338,16790086,21657708,8200868,15748709,11047963,8482828,6628982.5,13710464,11228152,18699802,14307637,12877214,7993762.5,21690322,18644852,14048843,15771345,11683388,15557136,6354692,13345342,25654626,12465656,9062092,22598820,7562177.5,12239124,8004349,7128595,9571173,"IGHG2B"
"A0A075B5P4;A0A0A6YWR2","Ighg1",3238547.5,10876758,42545300,6459140,14755007,7294607.5,5291717.5,3787302.75,4330072.5,9355063,7166430.5,6116490.5,9002311,1675042.375,6684495,10722279,4257868.5,6051231.5,5545821,5267232.5,3644800.5,1806922,2151390,13646023,5912950,3556620.75,3277825,3802470.25,3969991.25,1626485.125,4477277,"IGHG1"
"A0A075B5P5;P03987","Ighg3;",614000.5625,3737741.25,4294556.5,1685157.875,832041.75,922912.6875,6415803.5,5082443.5,1647521.875,7685569.5,6189307.5,5788668.5,3217247.75,1476403.25,5944804,6259060,2026999.125,4356926,874276.125,19578034,3910482.75,1453950.875,7899609.5,1784621.875,1304540.125,7891036.5,2372657.5,1741869.875,1834447.5,2359180,3442979.5,"IGHG3"
"A0A075B5P8","Ighv2-2",52263.22656,164109.7656,166484.75,49140.87109,104097.2188,39094.3125,59189.14453,479098.9375,64898.93359,83856.42188,46990.87109,103766.25,32209.2832,33369.13281,81666.9375,102852.6328,73492.125,88383.45313,82899.5,108687.1641,34292.96094,77634.58594,67249.28906,84641.14844,53720.14453,57503.0625,74828.25,28560.21484,40450.39453,26545.31836,184231.0938,"IGHV2-2"
"A0A075B5P9","Ighv5-4",368062.6563,271771.3125,66788.84375,48568.71484,102302.5781,193165.2969,142184.6406,81048.83594,176973.9219,104923.6641,100641.125,88199.38281,140430.1875,84585.33594,127290.7891,742689.75,55049.49219,112551.5781,46551.13672,46042.25,77668.46875,392825.9688,54956.88672,63689.33984,238766.2031,65868.29688,55434.55469,64553.24219,146127.5781,305368.75,125497.625,"IGHV5-4"
"A0A075B5Q0","Ighv5-6",892302.25,1367436.875,244370.0313,194251.3281,249382.1406,258933.5781,360474.9375,187054.3125,460295.9688,208838.3281,160095.3906,280033.875,172393.4688,86751.91406,249523.4688,843473.1875,179915.3906,590814.75,130621.7109,260642.0313,289404.6875,241956.6406,297873.625,914088.5625,347037.125,136686.3594,102496.7188,147717.875,181932.3438,208985.9063,189035.4531,"IGHV5-6"
"A0A075B5Q2","Ighv5-9",76281.54688,139941.9531,169364.9063,37135.19141,211494.3281,24463.59375,215696.1563,23126.44922,888588.5625,64860.125,36628.80469,31613.27539,48146.46094,69696.38281,39405.46094,24149.93359,1079649.875,30564.85742,48322.1875,67048.32813,34607.75,87406.64844,44520.05859,44590.52734,67420.67188,36815.40234,44681.32422,611057.3125,164609.5156,33201.44141,215339.7813,"IGHV5-9"
"A0A075B5Q3;A0A0A6YY69","Ighv2-5",8909.921875,22049.4375,170555.5,18231.19922,9564.628906,37067.51172,13757.94727,8946.693359,66656.65625,50411.41797,17415.98047,31053.63477,7183.374512,6856.570801,8036.764648,63799.33594,20481.80078,52146.57813,9814.94043,22799.58789,17208.49414,18915.55859,42293.65625,10684.73633,6796.564453,21890.67383,25260.2793,6405.443359,10048.11816,3799.476074,9898.900391,"IGHV2-5"
"A0A075B5Q4","Ighv5-12",35841.52344,27797.0918,25007.68164,64362.78125,135971.2969,100654.6016,338815.3438,110831.6719,98529.99219,352127.625,279154.7813,257075.4375,95731.64844,16818.17773,76775.23438,71398.64063,64490.12109,445310.4375,88145.92188,415093.8125,83079.63281,78596.57813,75927.20313,57854.49219,72480.59375,56805.30469,87089.32031,,189915.2656,,56846.70703,"IGHV5-12"
"A0A075B5Q5","Ighv2-9",39585.22656,10613.49023,7996.736328,,,6275.212402,12333.19043,10441.3877,7047.008301,3855.868408,24071.55469,14299.83887,12364.1748,4633.494141,234189.7188,,,14045.60156,20452.63477,165818.4375,12969.26172,12347.97656,22969.98633,21209.73633,3711.874023,,5347.989258,7220.998535,6484.314453,35601.78125,,"IGHV2-9"
"A0A075B5Q6;A0A0A6YVS4","Ighv5-9-1",134618.1719,188399.25,324806.6563,100264.1094,230743.1406,110749.8281,528136.375,111112.7813,1545188.875,131944.2813,47432.72266,109092.3594,171206.7188,54064.87109,111323.4453,306942.5938,166490.2344,544855.75,223017.6563,530187.8125,38860.24609,23473.29297,921348.75,117698.8672,108663.6563,327666.2813,82117.88281,61562.23828,115185.3203,274919.7188,275170.7188,"IGHV5-9-1"
"A0A075B5R0;A0A0B4J1P4","Ighv5-16",70041.34375,165866.9531,286015.3125,85841.23438,109056.4688,98497.46875,489098.4063,99545.80469,178987.1875,135563.8438,150482.7188,93116.57813,185481,133936.6875,740366.9375,70342.24219,117027.3047,154744.4688,187409.4219,363952.4063,66812.82031,146998.8438,104800.6016,312830.4688,164148.7969,71854.84375,94411.57813,133287.375,93702.1875,39364.60547,116446.8594,"IGHV5-16"
"A0A075B5R1","Ighv5-17",172711.875,105328.0938,136524.3438,104014.125,198806.4063,167432.0938,162438.5938,65574.45313,501106.6563,324984.75,218087.2656,1913692.75,91295.92969,80782.35938,142654.4219,528886.25,75830.0625,307479.875,380186.7188,206808.3906,72001.78906,77049.46094,30710.76953,1750972.25,1499545,216683.6719,58235.63281,229916.0781,215974.0625,62525.94922,88679.33594,"IGHV5-17"
"A0A075B5R2","Ighv7-3",30131.74805,59549.63281,62467.50391,34387.65625,21957.74414,19374.05664,23715.33008,23678.45703,60430.64063,46543.54297,27793.10742,20866.35742,96922.44531,26256.11914,26955.7793,40422.73047,51383.27734,27178.86719,20663.22461,344907.9688,20611.39648,28476.29883,21712.54688,23092.08203,21896.75391,17503.58203,20383.74609,18183.04688,18727.60156,21508.26953,34904.64063,"IGHV7-3"
"A0A075B5R4","Ighv14-1",114822.2188,350860.4375,288619.2813,175852.8281,187531.2969,193221.9375,138268.5625,93630.80469,357953.8438,167574.0156,106323.3672,174915.0469,214187.8438,95642.57813,114635.7109,186433.6406,170690.8281,224616.7656,98713.16406,407936.7813,62935.87109,107161.9141,141955.0938,42850.17188,62979.02344,88821.53125,87615.89063,116564.6484,173888.1719,100325.1719,144899.7188,"IGHV14-1"
"A0A075B5R5","Ighv4-1",207659.2813,3069972.25,575508.0625,330392.875,240752.625,254914.4844,436636.6563,232665.7813,245750.9375,490130.9375,1501755.625,1865057,481761.8438,583262.8125,854144,210269.75,390539.5,1061634.125,381649.9688,493891.375,250174.8438,496417.125,485663.125,407342.8438,438774.4375,890746.875,558283.6875,538930,608014.5625,153062.7656,401327.8438,"IGHV4-1"
"A0A075B5R6;A0A075B5R8","Ighv11-1;Ighv11-2",59691.79297,40811.19922,87431.83594,68308.10938,81542.61719,67652.90625,50316.79297,46939.19922,133994.7344,60560.42188,99404.60156,48218.37109,67365.33594,,65855.6875,69923.98438,73312.875,59988.90625,74848.78125,43783.64063,81062.47656,99977.82031,165771.1563,88309.1875,75992.55469,51469.78516,154063.2969,91960.27344,53171.03516,47101.71484,100870.625,"IGHV11-1;IGHV11-2"
"A0A075B5R7","Ighv14-2",612150.1875,405081.9063,1050457.625,174081.3125,1046266.688,276999.3438,272548.4375,215552.7344,570900,1006571.625,422211.7188,208252.1094,519300.7813,195585.6406,458590,695039.625,236006.625,1081912.625,366837.2813,203242.5313,114353.4531,254799.4219,365736.4688,353777.2813,117887.0703,390255.7188,368851.0625,908287.8125,450566.9375,107214.7969,501811.4063,"IGHV14-2"
"A0A075B5R9","Ighv14-3",,,,,,,,,29231.31445,,,14541.8916,,,,,,,,40625.14844,,,,,,,,,,,,"IGHV14-3"
"A0A075B5S1;A0A0B4J1P3","Ighv9-1",17628.35352,20327.23242,22448.83398,13652.39746,31483.23438,15046.4209,64837,89242.32813,35966.78906,84316.60156,20050.91797,23312.23438,29762.96875,27957.48828,28586.54688,10217.99609,43476.57813,34663.375,11667.19824,32473.35352,11904.96387,13531.18359,14904,20995.25781,82210.89063,74689.27344,73771.35938,15978.84473,24862.13672,41767.67969,13032.46777,"IGHV9-1"
"A0A075B5S2","Ighv7-1",1120947.625,224053.7969,295547.3125,656303.75,429277.0313,399347.4063,454866.25,510214.9688,345730.3125,168707.8125,91269.375,245368.9219,1187204.75,170338,734948.625,128704.7266,397187.5625,94324.21094,143040.7656,48926296,346115.9063,320318.5,158875.3906,86447.75781,177302.6875,618880.875,475921.7813,322258.0625,332411.3125,92452.45313,1021326.125,"IGHV7-1"
"A0A075B5S3;A0A0A6YVR1","Ighv14-4",6755.119141,29170.45313,54004.89453,23400.2168,55683.14844,8935.74707,6610.205566,54420.37891,11248.95703,17743.42773,12799.11035,19285.48438,8113.674805,10137.04492,20161.8457,54169.04688,12464.67871,88008.95313,10814.79395,8532.728516,8137.780762,24400.92188,18786.54688,15250.66504,11480.59766,25187.76563,12142.36328,8593.774414,12537.03516,1956.695923,14254.50488,"IGHV14-4"
"A0A075B5S4;A0A0A6YWL2","Ighv3-3",,5249.847168,3551.955078,,16759.10547,4979.717285,,1731.378296,33011.99219,6059.481934,,6584.056641,,3002.136475,9997.946289,,,48506.01172,,,6621.12793,2820.128662,1908.261108,4405.936523,,5371.115723,1595.700684,3545.734863,5500.384277,,14973.86426,"IGHV3-3"
"A0A075B5S5;A0A0A6YXL5","Ighv7-4",6829.215332,8071.735352,14227.10547,48613.26953,22812.93359,10957.67773,7584.166016,5638.920898,37019.59375,32533.90625,5300.834473,27038.70313,9027.251953,22650.08008,24093.0918,60402.57813,14551.73242,8948.164063,21967.47266,11963.87988,12728.78809,13714.59668,14836.80371,3324.857178,10723.62207,13444.53516,12906.4873,21390.47656,16361.19336,126795.9688,55329.96484,"IGHV7-4"
"A0A075B5S9;A0A0A6YWH6","Ighv9-4",,17577.75781,15249.79395,4376.497559,,,,19730.27539,25404.59375,,,11977.9668,,10439.98633,17448.11914,10468.24023,15220.95996,,6079.081543,17578.13672,20147.14453,10349.28418,,,12540.79395,17765.83008,34764.60938,17122.67969,14926.8252,37209.85938,,"IGHV9-4"
"A0A075B5T2","Ighv6-3",697347.25,563557,1462600.625,995965.25,1503528.875,753913,768155.8125,881933.8125,673214.9375,923057.75,597953.0625,655552.9375,1143128,812367.4375,1098967.875,872992.5,4416680,1258119.375,509970.9063,8040004.5,1192663.625,915984.125,434669.8438,876798.6875,573076.875,1238704,747860.3125,661878.625,637600.6875,1265440.5,747195.375,"IGHV6-3"
"A0A075B5T3","Ighv6-6",287571.8125,72101.60938,147957.3125,228857.4063,163419.8125,199061.7969,192000.2031,83405.89063,179783.5,237150.8125,170570.4375,426560.75,256942.0781,82312.88281,262197.125,233654.1875,102103.6094,186421.1563,68212.01563,329759.8125,142581.3281,186959.8438,107343.3984,106919.2656,134209.3281,555457.25,142341.2031,108194.7891,156260.1719,117891.1094,188261.5,"IGHV6-6"
"A0A075B5T5","Ighv1-5",186537.4375,89067.05469,265089.8125,52207.55469,172780.9063,46780.60156,102725.1641,76658.46875,144045.6094,188856.4219,100433.5938,103059.3594,151375.2813,64183.09766,155688.9531,220629.75,77846.66406,173885.6406,56922.16797,216550.2656,71878.90625,130766.7031,134001.8906,58492.53906,56247.79297,121031.375,102526.6016,173196.0781,112810.9453,9096.423828,97717.32813,"IGHV1-5"
"A0A075B5T6","Ighv10-3",113720,33110.05469,45746.46484,33759.85547,59169.37109,80115.79688,144444.1406,38686.76953,67306.57031,35711.21094,15428.09473,48061.76172,48408.03125,16750.47461,16176.07031,79347.91406,31336.80273,28295.09375,24193.13672,131288.4219,19742.87109,42694.38672,34906.21875,17809.08984,18004.74219,19500.6875,24286.50977,33149.67188,42488.13672,13182.49707,27296.18945,"IGHV10-3"
"A0A075B5T7","Ighv1-7",129107.1875,66784.91406,114014.6719,,,,168378.8906,50461.92969,,,86585.63281,,212591.0625,,241135.5,,64186.66016,189986.7344,,,,,,29604.62695,48623.31641,,295143.0313,,,,111865.3438,"IGHV1-7"
"A0A075B5T9;A0A0A6YW37","Ighv1-9",82187.25,23226.14258,77762.33594,89113.27344,58160.70313,130209.9219,105056.1719,65197.05469,181411.4063,239390.4844,168289.5938,82998.46094,81165.07031,43220.32813,86403.32031,59416.16016,111115.7656,372718.4688,195300.7031,112401.4688,118652.5469,56757.35938,66124.07813,14489.07129,318127.9375,105121.5938,116198.75,146533.0156,49787.82813,61428.49609,82106.71094,"IGHV1-9"
"A0A075B5U0;A0A0A6YXJ9","Ighv1-12",,,10734.12109,,,,9129.314453,,17059.82422,7295.916992,13695.90625,,,7890.475098,,,9088.972656,,,19120.67969,,44474.69531,,,16188.26367,,,,,,,"IGHV1-12"
"A0A075B5U5;A0A0A6YWX0","Ighv1-19",,,44316.47656,18168.34961,40358.94141,23987.01563,12120.5957,12017.87109,55422.60938,35202.8125,22133.16016,43774.67578,48595.42969,19195.70703,40544.11328,33463.34375,,36913.94141,49935.97266,34659.80078,,23025.73828,,,18568.65234,37293.45313,23592.69531,31889.91992,36246.77344,15299.95605,39475.09375,"IGHV1-19"
"A0A075B5U7","Ighv1-22",,58693.07813,23946.23438,21344.77734,26501.76172,22595.85352,78174.85156,12050.44824,34164.09375,35117.24219,8203.549805,18878.54688,53933.38281,7720.907715,27055.68164,21313.06055,17866.75,42268.26953,7494.389648,17288.64453,9463.307617,10795.68652,24323.5918,17703.38477,8881.515625,12222.67285,10811.28418,15916.10254,27033.76953,9125.489258,32221.76563,"IGHV1-22"
"A0A075B5V0","Ighv1-26",1670333.25,1228852.375,1835316.875,2141187.5,1602649.75,1229556.5,1103818.125,1233252.5,1621498.875,1589139.75,977406.875,1046670,1982149.5,1056275.5,1447571.125,1501792,1314489.75,1409625.75,2606938,2764470.5,844247.0625,1403936.375,1648387.75,2331467.25,779313.75,1867586.25,1126561.75,1274645.875,1399487.625,804475.0625,2078577.875,"IGHV1-26"
"A0A075B5V2","Ighv1-34",,,15545.49609,,,16308.21973,,,,,,,,,,23557.7207,,,,6682.657715,,,,,,10233.48633,,,,,,"IGHV1-34"
"A0A075B5V4;A0A0A6YW32","Ighv1-37",44110.16797,91161.28125,42669.48438,14978.73145,8371.198242,5071.910156,44662.98438,22348.62305,,7580.219727,11281.13965,9259.929688,29710.82813,31707.78516,19744.14648,85562.3125,16751.36719,,7789.713867,67559.21094,,11966.49512,10624.37305,,11505.4668,,10985.43066,60411.55469,37387.82422,16859.75977,10159.9248,"IGHV1-37"
"A0A075B5V5","Ighv1-39",988651.9375,14077.86133,20978.11914,17353.8457,26174.83203,28038.27539,39681.48438,28578.18359,21675.67578,41297.46484,15313.80859,16704.58398,23203.5625,47942.17969,22621.3418,26576.70703,24115.98242,21459.22266,26407.75977,33182.81641,24461.63281,117924.8984,24061.94922,29488.08789,7998.430664,20349.43164,22865.55859,13720.93945,54531.67578,,22513.35938,"IGHV1-39"
"A0A075B5V6","Ighv1-42",1556308.5,2102624.75,2033277,825535.4375,1132247.5,1003679.125,1192568,1219696.375,1739285.5,913917.0625,664628.1875,820127.5625,1037515.625,498234.8438,601281.0625,1430574,1042389.375,878673.4375,1238194.875,1629199.875,776405.375,1486834.875,1220068,3890432.25,595113,1271235.875,514510.375,1080868.625,522889.5938,401868.75,888535.1875,"IGHV1-42"
"A0A075B5V7;A0A0A6YXN5","Ighv1-43",24543.18945,24650.35742,27695.16992,15315.52148,17378.66016,13537.12695,16073.78418,11856.69043,19902.21094,12315.8623,6686.625488,11728.41504,14146.77637,7363.902344,14834.68848,10878.10352,17144.61133,16091.21484,18843.57227,26797.74805,8638.449219,16901.84375,13230.06348,39702.08203,6948.638184,13881.44238,8995.371094,15704.93848,9977.641602,4918.041992,17495.04102,"IGHV1-43"
"A0A075B5V8;A0A0A6YY41","Ighv1-47",7611.458008,31423.88086,35388.83203,15041.51855,10241.59863,8781.104492,,3427.388428,23821.87695,,1420548.875,8808.52832,50090.63672,29296.48633,67960.82813,,17401.38672,,,8811.539063,,,183518.4219,22599.2832,23077.71094,38648.75781,,,20582.81641,5367.427246,4141.560059,"IGHV1-47"
"A0A075B5W2;A0A0A6YXC3","Ighv1-52",70631.48438,68127.8125,141276.4688,71965.17969,108884.6328,77297.40625,60193.70313,76004.75781,139342.75,64759.74609,76721.61719,83859.17969,93747.67188,49431.15234,94161.74219,57574.94922,51855.56641,64074.53125,105975.0156,89823.86719,35448.53906,51761.78125,87762.14063,55875.79688,44019.67188,82641.22656,53639.51563,49394.42969,89640.40625,41856.91797,100365.2891,"IGHV1-52"
"A0A075B5W3","Ighv1-53",331914.2813,152727.9688,466371.4688,135532.5313,458776.375,358455.4063,133178.8594,190826.5781,293025.5,116786.9375,198350.5938,185720.875,297915.8438,102812.5234,422882.9063,113017.4531,148689.1406,244306.7031,291984.3438,327818.2188,140693.4375,115268.6172,253583.3906,186829.5,174214.5938,238873.3281,97886.75781,207111.4531,412294.0313,129990.0078,586064.3125,"IGHV1-53"
"A0A075B5W5","Ighv1-54",24487.33398,17950.30664,110390.1719,17627.98828,28606.37695,40772.58984,15482.5498,24208.14258,28962.72656,117793.2266,15428.86133,31116.93359,52221.74219,17932.82617,76326.40625,51049.21875,28569.69141,41875.99609,18997.23047,29676.88477,22388.33984,36222.39453,28214.18359,24967.83594,,20043.37109,27731.07031,33631.97266,25521.25586,,33224.53906,"IGHV1-54"
"A0A075B5W6","Ighv1-55",171694.3594,74910.72656,299322.5,227203.7813,80672.78906,132638.4219,189682.4688,79501.14063,184705.2813,119595.4141,123539.8906,145938.1563,97530.20313,63174.17578,354185.6875,99519.92969,233204.1563,159590.4219,114670.0938,250852.0625,89946.09375,206837.1875,103585.4531,92386.71094,183599.5469,141868.3438,101315.4844,172417.7813,127903.5625,71978.07031,119413.7031,"IGHV1-55"
"A0A075B5W9","Ighv1-58",,,18322.63477,,40268.02734,14882.46094,11796.62695,60469.20313,,59290.91797,22382.75586,14593.18359,51260.11328,13834.95703,,44291.03125,7675.224121,23861.52344,,161472.3906,45467.67969,15324.90039,,,25631.03906,,9790.011719,124394.2031,16506.53711,11121.57227,,"IGHV1-58"
