"PG.ProteinAccessions","PG.Genes","Veh.1","Veh.2","Veh.3","Veh.4","Veh.5","Veh.6","Veh.7","Veh.8","GDF15.1","GDF15.2","GDF15.3","GDF15.4","GDF15.5","GDF15.6","GDF15.7","CR.1","CR.2","CR.3","CR.4","CR.5","CR.6","CR.7","CR.8","CR.9","CR.10","CR.11","CR.12","CR.13","CR.14","CR.15","CR.16","Protein"
"Q6GQT1","A2m",15677.46387,,23450.45898,19871.45117,18280.69727,19789.12305,23259.07227,,21674.97656,28206.39063,24461.79688,21268.17578,17559.54102,17745.63672,,,17601.54102,16183.95703,,23797.08203,16161.99805,20251.27344,,,18236.06055,14189.01074,17551.27148,,,,17449.45898,"A2M"
"Q6IFX2","Krt42",10907.71875,,,3113.095703,,,,,,,,,4554.225098,,,,7079.200195,,,9770.698242,,,,,,,,,,,,"KRT42"
"Q6P069","Sri",,38968.19531,5254.498047,,9100.473633,122743.125,13718.91406,,,,157501.8125,169265.2188,,37119.11719,,,,,33628.89844,43783.88672,32929.41016,39865.64453,,45658.83203,48205.20703,32042.47852,55917.83203,52864.45703,39061.48828,36233.91797,33880.03906,"SRI"
"Q6S9I0;Q6S9I2;Q6S9I3","Kng2",1286874.25,1232922.125,1302478.625,1400777.5,1328841.625,1408304.125,1421657.375,1359367.25,1248564,1158947,1183458.625,1282114.875,1407045.5,1333908.875,1167372.375,1432159.75,1361395.25,1392160.5,1400560.75,1179379.625,1517146.375,1470824.25,1517048.375,1279389.125,1509333.5,1430429,1482664.5,1606596.625,1600212.125,1649148.625,1509171.75,"KNG2"
"Q792Z1","Try10",79863.60938,91306.75781,96618.11719,105724.1328,77106.17969,75616.02344,81451.36719,86957.13281,93065.10938,73056.58594,85922.01563,100857.1484,87582.26563,76644.07813,81777.53906,86910.67188,93474.44531,69025.97656,79488.27344,104963.3281,91698.15625,80701.96875,85631.75781,82898.35938,75371.17188,75451.79688,74677.78906,79772.52344,77113.23438,75457.44531,69944.83594,"TRY10"
"Q7TSK7","Adamtsl2",429443.3125,1379978.5,1187706.25,1341308.75,,395508.25,387740.2188,461440.1875,410892.5,351167.6875,396141.0625,371392.7188,323066.9688,365042.75,367437.3125,426688.4688,360422.7188,503051.3438,440090.0625,336862.5313,438866.9375,372758.2188,430587.375,,,367831.4063,366337.5625,402351.0625,333590.4375,273856.3438,374750.0938,"ADAMTSL2"
"Q80W65","Pcsk9",27573.36719,18944.40625,27892.64258,29541.1875,25493.24414,21978.07813,19377.22852,27641.67969,17534.15234,17684.30664,19175.78125,16021.1123,13186.80469,20314.48828,13517.37891,16872.81641,13162.35645,13742.66699,21222.24219,13229.5293,26418.48438,20953.05273,16498.01172,13605.02637,19086.2168,14742.65527,17412.3125,20497.64648,16674.83203,26965.75195,17213.47656,"PCSK9"
"Q80X81;Q8CAY6","Acat3;Acat2",18955.68164,,,11814.33398,12458.9043,13614.67773,21448.66211,13398.09766,,,,,,5665.787109,,,,,,18858.61328,9250.670898,11454.98535,15047.85547,,6561.191406,,,7004.411133,,8081.52832,8179.073242,"ACAT3;ACAT2"
"Q80YC5","F12",516671.1875,449015.7813,494836.625,553769.5625,548125.875,568304.9375,567557.875,602256.125,478839.2813,444356.3125,479966.6875,482298.5313,473298.8438,511445,521695.875,520881.2813,525484.3125,531674.75,543636.125,554306.1875,530455.9375,492705.0625,471400,467596.6563,533489.8125,462698.0313,497038.2813,494092.6875,464509.7188,454876.25,514170.125,"F12"
"Q80YQ1","Thbs1",77064.83594,90076.42188,45853.5,53587.89844,19025.94141,81904.92188,25048.97461,7388.046387,21109.43164,93088.28125,12678.29199,16249.62891,17510.65234,18340.35938,30084.52539,53382.43359,34547.12109,33147.97656,19388.80273,24975.92773,59243.62109,59899.90234,43759.01953,81784.00781,141323.9375,20847.00586,70186.07813,142628.3438,20039.25977,92244.88281,62340.16016,"THBS1"
